UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;EQUADOR;Residente;2233
SP;ARGENTINA;Residente;23864
SP;BOLÍVIA;Residente;101987
SP;URUGUAI;Residente;5437
SP;PORTUGAL;Residente;67003
SP;VENEZUELA;Residente;25745
SP;CHINA;Residente;37417
SP;ALEMANHA;Residente;10135
SP;CORÉIA DO SUL;Residente;15829
SP;ESPANHA;Residente;19721
SP;MÉXICO;Residente;3015
SP;JAPÃO;Residente;36745
SP;ITÁLIA;Residente;21718
SP;PERU;Residente;15704
SP;CHILE;Residente;15613
SP;NIGÉRIA;Residente;4693
SP;BURKINA FASO;Residente;133
SP;PARAGUAI;Residente;11335
SP;INDONÉSIA;Residente;206
SP;LÍBANO;Residente;6405
SP;COLÔMBIA;Residente;12946
SP;FRANÇA;Residente;7435
SP;SUÍCA;Residente;1952
SP;ESTADOS UNIDOS;Residente;11192
SP;PANAMÁ;Residente;270
SP;GRÉCIA;Residente;929
SP;BOLÍVIA;Temporário;30953
SP;REINO UNIDO;Residente;3777
SP;CABO VERDE;Temporário;136
SP;TURQUIA;Residente;788
SP;MOÇAMBIQUE;Residente;323
SP;CANADÁ;Residente;1324
SP;ANGOLA;Residente;6106
SP;APÁTRIDA;Residente;557
SP;CONGO;Residente;480
SP;CAMARÕES;Residente;321
SP;INDIA;Residente;1443
SP;BÉLGICA;Residente;1096
SP;CUBA;Residente;4118
SP;CAZAQUISTÃO;Residente;28
SP;PAÍSES BAIXOS;Residente;2380
SP;ALBÂNIA;Residente;24
SP;PARAGUAI;Temporário;3237
SP;ROMÊNIA;Residente;1292
SP;COSTA RICA;Residente;301
SP;GANA;Residente;351
SP;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;297
SP;HAITI;Residente;28260
SP;PAQUISTÃO;Residente;667
SP;AUSTRIA;Residente;1000
SP;GUINÉ BISSAU;Residente;916
SP;NOVA ZELÂNDIA;Residente;144
SP;CABO VERDE;Residente;304
SP;SÍRIA;Residente;4181
SP;POLÔNIA;Residente;1081
SP;COLÔMBIA;Temporário;5701
SP;CROÁCIA;Residente;92
SP;ZÂMBIA;Residente;14
SP;PERU;Temporário;4885
SP;RÚSSIA;Residente;1211
SP;JORDÂNIA;Residente;261
SP;AUSTRÁLIA;Residente;590
SP;SUÉCIA;Residente;979
SP;IRAQUE;Residente;240
SP;DINAMARCA;Residente;443
SP;GUATEMALA;Residente;217
SP;ANGOLA;Temporário;7227
SP;IRLANDA;Residente;392
SP;UCRÂNIA;Residente;314
SP;EL SALVADOR;Residente;206
SP;CHINA;Provisório;431
SP;SENEGAL;Residente;2530
SP;FINLÂNDIA;Residente;288
SP;FRANÇA;Temporário;536
SP;CHINA;Temporário;3871
SP;REP. DOMINICANA;Residente;415
SP;ISRAEL;Residente;951
SP;PALESTINA;Residente;538
SP;SERVIA E MONTENEGRO;Residente;1008
SP;GRÉCIA;Temporário;64
SP;FILIPINAS;Residente;615
SP;BARBADOS;Residente;3
SP;LITUÂNIA;Residente;941
SP;MARROCOS;Residente;751
SP;BULGÁRIA;Residente;130
SP;ARÁBIA SAUDITA;Residente;36
SP;JAMAICA;Residente;16
SP;HUNGRIA;Residente;467
SP;EGITO;Residente;1222
SP;SUDÃO;Residente;156
SP;LUXEMBURGO;Residente;29
SP;PORTUGAL;Temporário;508
SP;HONG-KONG (R.A.E.);Residente;48
SP;REPÚBLICA TCHECA;Residente;135
SP;GUINÉ;Residente;268
SP;ETIÓPIA;Residente;36
SP;SERRA LEOA;Residente;117
SP;NICARÁGUA;Residente;166
SP;HONDURAS;Residente;128
SP;TCHECOSLOVAQUIA;Residente;106
SP;ESLOVÊNIA;Residente;34
SP;GUINÉ BISSAU;Temporário;489
SP;MAURÍCIO;Residente;24
SP;TOGO;Residente;195
SP;BAHAMA,IS;Residente;6
SP;ALEMANHA;Temporário;393
SP;SÉRVIA;Residente;96
SP;ARGÉLIA;Residente;104
SP;JAPÃO;Temporário;511
SP;MALÁSIA;Residente;105
SP;UGANDA;Residente;23
SP;TUNÍSIA;Residente;275
SP;TANZÂNIA;Residente;78
SP;ESTÔNIA;Residente;52
SP;MOÇAMBIQUE;Temporário;341
SP;AFRICA DO SUL;Residente;384
SP;GUIANA FRANCESA;Residente;65
SP;INDIA;Temporário;388
SP;IRÃ;Residente;559
SP;EQUADOR;Temporário;1779
SP;IRÃ;Residente;2
SP;VIETINA;Residente;79
SP;TRINIDAD E TOBAGO;Residente;26
SP;CHILE;Temporário;915
SP;ARGENTINA;Temporário;906
SP;PORTO RICO;Residente;2
SP;GABÃO;Provisório;4
SP;BANGLADESH;Residente;1907
SP;REINO UNIDO;Temporário;208
SP;GUIANA;Residente;33
SP;AUSTRIA;Temporário;35
SP;ILHAS CANARIAS;Residente;7
SP;ESLOVÁQUIA;Residente;51
SP;REP. DOMINICANA;Temporário;378
SP;NIGÉRIA;Temporário;169
SP;ESPANHA;Provisório;9
SP;NORUEGA;Temporário;27
SP;CORÉIA DO NORTE;Residente;6
SP;VIETNAM DO NORTE;Residente;9
SP;GABÃO;Residente;4
SP;BOTSUANA;Residente;1
SP;SAO TOMÉ E PRÍNCIPE;Temporário;42
SP;MALI;Residente;197
SP;NORUEGA;Residente;235
SP;ESTADOS UNIDOS;Temporário;2402
SP;AFRICA DO SUL;Provisório;64
SP;LIBÉRIA;Residente;27
SP;NEPAL;Residente;55
SP;BÓSNIA-HERZEGOVINA;Residente;21
SP;BURUNDI;Residente;28
SP;LÍBANO;Provisório;226
SP;ZIMBÁBUE;Residente;15
SP;PERU;Provisório;36
SP;UGANDA;Provisório;5
SP;GEÓRGIA;Residente;18
SP;SAO TOMÉ E PRÍNCIPE;Residente;20
SP;TAILÂNDIA;Residente;111
SP;CHADE;Residente;7
SP;GANA;Provisório;100
SP;BOLÍVIA;Provisório;49
SP;TAIWAN, PROVINCIA DA CHINA;Residente;148
SP;HAITI;Temporário;3045
SP;MÉXICO;Temporário;412
SP;QUÊNIA;Residente;58
SP;QUIRGUISTÃO;Residente;7
SP;BELARUS;Residente;51
SP;COSTA RICA;Temporário;91
SP;ISLÂNDIA;Residente;18
SP;GUAM;Residente;3
SP;CINGAPURA;Residente;74
SP;AFEGANISTÃO;Residente;771
SP;COSTA DO MARFIM;Residente;91
SP;MACEDÔNIA;Residente;16
SP;BHUTAN;Residente;2
SP;CUBA;Provisório;4676
